epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1072.69,0.59079,0.7996,0.3538,0.90803,0.97175,0.84927,0.91673,0.77542,0.97945,0.85089,0.9176,0.76681,0.54012,0.74414,0.31062,0.89243,0.0035645,0.0035645,0.0035645
31,1108.23,0.58764,0.7976,0.35131,0.90382,0.9705,0.85251,0.91321,0.78111,0.97369,0.85737,0.91825,0.7648,0.52959,0.73252,0.31222,0.88759,0.003515,0.003515,0.003515
32,1144.07,0.58354,0.78294,0.3507,0.90453,0.97841,0.84117,0.91661,0.77749,0.97911,0.85737,0.91752,0.75294,0.51731,0.73243,0.30525,0.88414,0.0034655,0.0034655,0.0034655
33,1180,0.57985,0.78151,0.34729,0.9024,0.96174,0.859,0.91245,0.77592,0.96038,0.86441,0.91784,0.7548,0.50914,0.7444,0.29833,0.88554,0.003416,0.003416,0.003416
34,1216.1,0.57979,0.78383,0.34524,0.9041,0.96247,0.859,0.91435,0.78132,0.96552,0.86386,0.91965,0.76367,0.5175,0.71201,0.30052,0.88402,0.0033665,0.0033665,0.0033665
35,1251.88,0.58018,0.78931,0.34482,0.90223,0.97035,0.84857,0.91149,0.78104,0.97066,0.85785,0.91666,0.76133,0.51537,0.74032,0.2998,0.88723,0.003317,0.003317,0.003317
36,1287.48,0.57798,0.78253,0.3411,0.90095,0.97594,0.85451,0.91791,0.78083,0.97921,0.85737,0.91945,0.76215,0.50732,0.71803,0.29499,0.87852,0.0032675,0.0032675,0.0032675
37,1321.98,0.57642,0.77426,0.33914,0.89593,0.96882,0.85602,0.91739,0.78239,0.97397,0.8491,0.91423,0.76669,0.51605,0.71784,0.2961,0.88339,0.003218,0.003218,0.003218
38,1357.05,0.57195,0.78294,0.33882,0.90083,0.97299,0.85575,0.92148,0.78679,0.98229,0.86386,0.92362,0.7706,0.50478,0.7168,0.28869,0.87746,0.0031685,0.0031685,0.0031685
39,1391.31,0.572,0.76948,0.33764,0.89889,0.97353,0.84279,0.91813,0.78505,0.93592,0.87584,0.92075,0.76051,0.50704,0.70712,0.295,0.88133,0.003119,0.003119,0.003119
